Probe Set ID	Gene Symbol
1416691_at	Gtpbp2
1416692_at	Coil
1416693_at	Foxc2
1416694_at	Gk2
1416695_at	Tspo
1416696_at	D17Wsu104e
1416697_at	Dpp4
1416698_a_at	Cks1b
1416699_at	1110008F13Rik
1416700_at	Rnd3
1416701_at	Rnd3
1416702_at	Serpini1
1416703_at	Mapk14
1416704_at	Mapk14
1416705_at	Rpe
1416706_at	Rpe
1416707_a_at	Pmf1
1416708_a_at	Gramd1a
1416709_a_at	Ngrn
1416710_at	Tmem35
1416711_at	Tbr1
1416712_at	Pepd
1416713_at	Tppp3
1416714_at	Irf8
1416715_at	Gjb3
1416716_at	Efs
1416717_at	Crisp2
1416718_at	Bcan
1416719_a_at	Rps10
1416720_at	Sfrs6
1416721_s_at	Sfrs6
1416722_at	Hmg20a
1416723_at	Tcf4
