ID	Cy5	Cy3	Ratio	Sum	LogRat
YOL104C	1550	2912	0.53	4372	-0.92
YOL108C	1797	5692	0.31	7399	-1.68
YOL112W	1536	3513	0.43	4959	-1.2
YOL128C	972	1946	0.5	2828	-1.01
YOL132W	173	418	0.38	501	-1.41
YOL136C	3072	3953	0.78	6935	-0.36
YOR269W	620	687	0.92	1218	-0.12
YOR273C	405	1814	0.21	2130	-2.25
YOR277C	69	126	0.45	106	-1.15
YOR293W	48604	15700	3.1	64214	1.63
YOR297C	1320	1811	0.73	3041	-0.45
YOR300W	559	885	0.63	1356	-0.67
YOR315W	4890	9427	0.52	14228	-0.95
YOR319W	2642	4703	0.56	7255	-0.84
YOR323C	3446	5201	0.66	8558	-0.59
YOR339C	189	258	0.74	357	-0.43
YOR343C	173	336	0.48	419	-1.06
YOR345C	63	122	0.38	95	-1.41
YPL252C	1143	1242	0.93	2295	-0.1
YPL256C	829	1184	0.7	1923	-0.51
YPL258C	282	437	0.64	629	-0.64
YPL274W	1186	2383	0.49	3480	-1.02
YPL278C	505	1013	0.49	1430	-1.03
YPL282C	104	244	0.36	259	-1.49
YPR014C	54	109	0.32	74	-1.64
YPR018W	702	995	0.71	1608	-0.5
YPR022C	755	1051	0.72	1717	-0.47
YPR038W	60	110	0.41	82	-1.27
YPR042C	1258	2105	0.6	3274	-0.75
YPR046W	1047	1830	0.57	2787	-0.82
EMPTY	71	54	17	36	4.09
EMPTY	112	123	1.06	146	0.08
EMPTY	121	150	0.87	181	-0.21
EMPTY	43	57	1.2	11	0.26
EMPTY	38	55	3	4	1.58
EMPTY	40	59	1	8	0
EMPTY	38	59	0.4	7	-1.32
EMPTY	42	61	1	14	0
EMPTY	37	55	1	4	0
EMPTY	41	61	0.75	14	-0.42
EMPTY	39	59	0.67	10	-0.58
EMPTY	38	58	0.4	7	-1.32
EMPTY	40	54	2	6	1
EMPTY	61	75	1.14	47	0.18
EMPTY	40	55	2	6	1
EMPTY	41	55	1.67	8	0.74
EMPTY	86	114	0.79	111	-0.34
EMPTY	71	110	0.6	91	-0.75
EMPTY	75	60	4.75	46	2.25
EMPTY	82	121	0.65	114	-0.62
EMPTY	42	58	2.33	10	1.22
EMPTY	40	58	1.25	9	0.32
EMPTY	41	59	1.2	11	0.26
EMPTY	39	58	0.8	9	-0.32
EMPTY	35	51	0	-1	0
EMPTY	35	52	1	-2	0
EMPTY	35	51	1	-2	0
EMPTY	38	54	1	4	0
EMPTY	37	53	0	1	0
EMPTY	37	49	0	-3	0
YCONTROL57	39	92	0.05	43	-4.36
YCONTROL91	41	92	0.1	45	-3.36
YCONTROL97	63	154	0.25	129	-1.99
YCONTROL57	45	85	0.26	44	-1.96
YCONTROL91	38	86	0.03	36	-5.13
YCONTROL97	41	81	0.13	34	-2.91
YCONTROL57	45	90	0.23	48	-2.12
YCONTROL91	42	83	0.19	38	-2.42
YCONTROL97	43	80	0.24	36	-2.05
YCONTROL57	44	79	0.25	35	-2
YCONTROL91	41	78	0.15	31	-2.75
YCONTROL97	46	84	0.27	42	-1.87
Q0105	45	86	0.25	45	-2
Q0130	48	82	0.35	42	-1.49
Q0144	44	83	0.22	39	-2.19
YAL011W	513	799	0.64	1222	-0.65
YAL015C	941	1818	0.51	2670	-0.97
YAL019W	1023	660	1.62	1594	0.7
YAL034W-A	796	1297	0.61	2004	-0.71
YAL037W	264	566	0.44	742	-1.18
YAL041W	912	1506	0.6	2329	-0.73
YAL058W	651	1063	0.61	1625	-0.72
YAL062W	530	3869	0.13	4311	-2.95
YAL064W-B	539	774	0.7	1224	-0.52
YBR140C	1098	2021	0.54	3030	-0.89
YBR144C	60	120	0.33	92	-1.58
YBR148W	283	707	0.38	902	-1.42
YBR163W	959	1426	0.67	2295	-0.58
YBR167C	1120	2100	0.53	3131	-0.92
YBR171W	3083	3531	0.88	6524	-0.19
YBR187W	3274	3894	0.84	7076	-0.25
YBR191W	40707	15206	2.68	55821	1.42
YBR195C	878	1266	0.69	2055	-0.53
YBR211C	1195	2213	0.54	3318	-0.9
YBR215W	815	1356	0.6	2081	-0.75
YBR219C	71	129	0.44	112	-1.2
YDL046W	3701	9456	0.39	13068	-1.36
YDL050C	45	100	0.17	56	-2.58
YDL054C	6836	12867	0.53	19614	-0.91
YDL070W	4775	7399	0.64	12085	-0.63
YDL074C	2320	3657	0.63	5888	-0.66
YDL078C	3778	8068	0.47	11757	-1.1
YDL094C	66	147	0.31	124	-1.71
YDL098C	931	1707	0.54	2548	-0.89
YDL102W	553	839	0.66	1301	-0.61
YDL118W	49	101	0.22	60	-2.16
YDL122W	1987	1697	1.18	3592	0.24
YDL126C	8272	16797	0.49	24979	-1.02
YDR173C	899	1220	0.74	2030	-0.44
YDR177W	3114	4794	0.65	7818	-0.62
YDR180W	255	356	0.72	522	-0.48
YDR196C	2051	4307	0.47	6269	-1.08
YDR200C	1002	2011	0.49	2925	-1.02
YDR204W	889	2623	0.33	3423	-1.59
YDR216W	287	798	0.33	995	-1.58
YDR220C	244	488	0.47	642	-1.08
YDR224C	32849	36176	0.91	68935	-0.14
YDR240C	809	1122	0.72	1842	-0.47
YDR244W	871	1681	0.51	2463	-0.97
YDR248C	1642	4241	0.38	5792	-1.38
YDR541C	979	1492	0.65	2380	-0.61
YDR545W	6562	9272	0.71	15744	-0.5
YEL004W	624	1061	0.58	1595	-0.78
YEL019C	333	524	0.63	767	-0.68
YEL022W	1696	2277	0.75	3884	-0.42
YEL026W	6788	2409	2.86	9108	1.52
YEL042W	1351	1473	0.92	2735	-0.11
YEL046C	6829	4767	1.44	11506	0.53
YEL050C	1643	2993	0.55	4547	-0.87
YEL065W	16729	28334	0.59	44973	-0.76
YEL069C	77	159	0.37	148	-1.43
YEL073C	1331	4821	0.27	6064	-1.88
YFR019W	518	939	0.54	1368	-0.88
YFR023W	159	312	0.47	383	-1.1
YFR026C	263	516	0.48	689	-1.04
YFR040W	1743	2701	0.64	4353	-0.64
YFR044C	5268	12447	0.42	17624	-1.24
YFR048W	560	848	0.66	1318	-0.61
YGL007W	76	148	0.39	132	-1.36
YGL011C	6574	14624	0.45	21107	-1.16
YGL015C	76	136	0.47	122	-1.09
YGL031C	41746	14083	2.97	55738	1.57
YGL035C	825	1210	0.68	1946	-0.56
YGL039W	1804	4308	0.42	6023	-1.27
YGR075C	1141	1841	0.62	2893	-0.7
YGR079W	1514	903	1.74	2328	0.8
YGR083C	1420	1288	1.12	2620	0.16
YGR099W	1203	2132	0.56	3246	-0.84
YGR103W	5636	1598	3.62	7145	1.86
YGR107W	132	241	0.5	284	-0.99
YGR121C	716	5251	0.13	5878	-2.94
YGR124W	19476	31907	0.61	51293	-0.71
YGR128C	2067	877	2.46	2854	1.3
YGR144W	336	637	0.51	883	-0.97
YGR148C	44601	15269	2.93	59778	1.55
YGR152C	1986	2479	0.8	4372	-0.32
YHR097C	252	777	0.3	939	-1.75
YHR101C	859	1787	0.47	2556	-1.08
YHR105W	480	1159	0.4	1550	-1.32
YHR121W	2743	5634	0.48	8288	-1.04
YHR125W	73	153	0.36	137	-1.49
YHR129C	1039	1397	0.74	2347	-0.42
YHR143W	15433	17242	0.9	32586	-0.16
YHR146W	3017	5382	0.56	8311	-0.84
YHR150W	954	2098	0.45	2963	-1.16
YHR166C	445	653	0.68	1008	-0.56
YHR170W	3752	1650	2.32	5312	1.22
YHR174W	46972	28361	1.66	75241	0.73
YJL032W	51	96	0.3	56	-1.73
YJL036W	521	1311	0.38	1742	-1.38
YJL041W	699	1067	0.65	1676	-0.62
YJL057C	1098	3425	0.31	4431	-1.67
YJL061W	281	439	0.63	630	-0.66
YJL065C	1395	2188	0.64	3493	-0.65
YJL081C	2048	3671	0.56	5630	-0.85
YJL085W	1304	2134	0.61	3349	-0.72
YJL089W	150	453	0.28	513	-1.82
YJL105W	343	602	0.56	856	-0.85
YJL109C	44	62	0.73	19	-0.46
YJL113W	271	564	0.46	747	-1.13
YKL028W	1901	2634	0.72	4446	-0.47
YKL032C	1249	1578	0.79	2738	-0.33
YKL035W	3202	9472	0.34	12583	-1.57
YKL051W	1030	1047	1	1986	0
YKL054C	3184	3327	0.96	6421	-0.06
YKL058W	5097	8082	0.63	13089	-0.67
YKL074C	915	989	0.94	1814	-0.1
YKL078W	639	275	2.7	824	1.43
YKL082C	3823	2088	1.86	5821	0.9
YKL097C	59	132	0.28	101	-1.84
YKL101W	1963	2763	0.71	4636	-0.49
YKL105C	550	1159	0.46	1619	-1.11
YLR009W	4217	1516	2.86	5643	1.51
YLR013W	70	125	0.45	106	-1.15
YLR017W	1939	1550	1.27	3400	0.34
YLR033W	2203	3188	0.69	5303	-0.53
YLR036C	1082	1705	0.63	2697	-0.66
YLR040C	723	903	0.81	1537	-0.31
YLR056W	16976	21112	0.8	37997	-0.31
YLR060W	4565	3791	1.21	8265	0.28
YLR064W	2296	3616	0.63	5822	-0.66
YLR080W	686	2297	0.29	2893	-1.79
YLR084C	1327	1886	0.7	3123	-0.51
