Display_Name	Portion_Default	Portion_Display_Name	Calories	Saturated_Fats
Vegetable oil (canola, corn, olive, etc)	2	cup	481.78	6.83975
Blue cheese dressing	1	Tablespoon	77.112	1.5147
French dressing	1	Tablespoon	71.292	0.8814
French dressing	2	packet	201.08	2.486
Italian dressing (oil & vinegar)	1	Tablespoon	42.777	0.65709
Italian dressing (oil & vinegar)	2	cup	170.9625	2.62613
Italian dressing (oil & vinegar)	2	packet (1.6 oz)	128.04	1.9668
Mayonnaise, regular	1	Tablespoon	98.946	1.63944
Mayonnaise, regular	2	cup	394.35	6.534
Mayonnaise, regular	2	packet	86.04	1.4256
Miracle whip salad dressing	1	Tablespoon	57.33	0.7203
Miracle whip salad dressing	2	cup	229.125	2.87875
Miracle whip salad dressing	2	packet	46.8	0.588
Creamy dressing (ranch)	1	Tablespoon	71.442	1.12455
Creamy dressing (ranch)	2	cup	285.525	4.49437
Creamy dressing (ranch)	2	packet	213.84	3.366
Sweet & sour dressing	1	Tablespoon	2.34	0
Sweet & sour dressing	2	cup	9.375	0
Thousand island dressing	1	Tablespoon	57.72	0.79404
Thousand island dressing	2	packet	162.8	2.2396
Low-calorie salad dressing	1	Tablespoon	23.814	0.1296
Low-calorie salad dressing	2	cup	95.55	0.52
Low-calorie mayonnaise	2	cup	145	2.0625
Fat-free Italian dressing	1	Tablespoon	6.58	0.0406
Fat-free Italian dressing	2	packet	20.68	0.1276
Fat-free thousand island dressing	1	Tablespoon	21.12	0.032
Fat-free thousand island dressing	2	packet	58.08	0.088
Fat-free ranch dressing	1	Tablespoon	17.655	0.08085
Fat-free ranch dressing	2	packet	47.08	0.2156
White sugar (granulated or lump)	1	teaspoon	16.254	0
White sugar (granulated or lump)	2	cup	193.5	0
White sugar (granulated or lump)	2	lump (2 cubes)	19.35	0
White sugar (granulated or lump)	2	individual packet	23.22	0
Powdered sugar (confectioner's sugar)	1	teaspoon	9.725	5e-04
Powdered sugar (confectioner's sugar)	2	cup	116.7	0.006
Brown sugar	1	teaspoon, packed	17.342	0
Calorie-free sweetener	1	individual packet	1.408	8e-05
Calorie-free sweetener	2	teaspoon	7.04	4e-04
Chocolate sauce (thin type)	1	Tablespoon	52.452	0.09776
Chocolate sauce (thin type)	2	cup	209.25	0.39
Syrup (all types)	1	Tablespoon	53	0.004
Syrup (all types)	2	packet	156.35	0.0118
Honey	1	Tablespoon	63.84	0
Butterscotch sauce	1	Tablespoon	62.964	0.39856
Butterscotch sauce	2	cup	252.45	1.598
Fudge sauce (thick type)	1	Tablespoon	72.66	1.1844
Fudge sauce (thick type)	2	cup	294.1	4.794
Fruit topping	1	Tablespoon	53.848	0.00212
Fruit topping	2	cup	215.9	0.0085
Marshmallow topping	1	Tablespoon	19.964	0.00372
Marshmallow topping	2	cup	79.695	0.01485
Nut topping (wet)	1	Tablespoon	89.6	0.392
Nut topping (wet)	2	cup	367.36	1.6072
Nutella (chocolate hazelnut spread)	1	Tablespoon	83.855	0.83545
Chocolate icing	1	Tablespoon	67.252	0.39388
Chocolate icing	2	cup	268.8125	1.57438
White icing	1	Tablespoon	80.396	0.40397
White icing	2	cup	322.19	1.61893
Dietetic syrup	1	Tablespoon	6	0
Dietetic syrup	2	cup	24	0
Dietetic topping	1	Tablespoon	8.236	0.12212
Dietetic topping	2	cup	32.915	0.48805
Sweet and sour sauce (Vietnamese Sauce)	1	Tablespoons	28.2	3e-04
Sweet and sour sauce (Vietnamese Sauce)	2	fast food container	31.02	0.00033
Vanilla or rum dessert sauce	1	cup	95.04	0.9306
Vanilla or rum dessert sauce	2	Tablespoon	23.76	0.23265
Duck sauce	1	packet	22.325	0.42275
Duck sauce	2	cup	170.375	3.22625
Duck sauce	2	Tablespoon	42.3	0.801
